SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,DATE,TOTALTRADES,ISIN
20MICRONS,EQ,67.95,68.35,65.2,66.35,66.7,67.25,216399,14431821.15,2021-06-16,3324,INE144J01027
21STCENMGM,EQ,18.8,18.8,18.8,18.8,18.8,18.45,1069,20097.2,2021-06-16,5,INE253B01015
364D150721,TB,96,96,96,96,96,96.65,100,9600,2021-06-16,1,IN002020Z154
3IINFOTECH,BE,9.25,9.55,9.15,9.55,9.55,9.1,19580363,185789796.9,2021-06-16,8824,INE748C01020
3MINDIA,EQ,25764.45,25834.25,25394,25473.8,25438,25684.3,1631,41714125.1,2021-06-16,869,INE470A01017
3PLAND,EQ,13.85,14.2,13.8,13.95,13.9,13.85,14524,202521.3,2021-06-16,108,INE105C01023
503KL24,SG,103.95,104.25,103.95,104.25,104.25,103.95,200,20820,2021-06-16,2,IN2020200159
5PAISA,EQ,428.9,439.65,420.7,431,430.8,418.75,229848,99767297.5,2021-06-16,6270,INE618L01018
63MOONS,BE,95,95,92.5,92.8,92.7,93.8,49473,4638908.8,2021-06-16,566,INE111B01023
664GS2035,GS,103,103,103,103,103,100,2,206,2021-06-16,2,IN0020210020
667GS2050,GS,102,102.9,102,102,102,102,172,17634,2021-06-16,3,IN0020200252
676GS2061,GS,101,101.25,101,101.25,101.25,100.25,211,21336,2021-06-16,4,IN0020200401
716GS2050,GS,113.4,113.4,110,110,110,114.9,1011,114610,2021-06-16,3,IN0020200054
719GS2060,GS,112,112,112,112,112,113,8,896,2021-06-16,2,IN0020200039
A2ZINFRA,BE,5.7,5.7,5.35,5.4,5.45,5.6,575373,3137143.6,2021-06-16,691,INE619I01012
AAATECH,SM,58,63.25,58,63.25,63.25,57.5,48000,3006450,2021-06-16,16,INE0D0U01013
AAKASH,EQ,180.5,182.45,180,181.4,181.9,179.65,60651,10967054.8,2021-06-16,510,INE087Z01016
AARON,BE,79.9,79.9,74.55,75.25,74.55,78.45,9323,715313.7,2021-06-16,153,INE721Z01010
AARTIDRUGS,EQ,731,748,727.05,736.6,737.55,731.25,430075,317120317.8,2021-06-16,15843,INE767A01016
AARTIIND,EQ,1830.1,1845,1818.95,1827.9,1830,1826.6,291708,534400423.6,2021-06-16,16407,INE769A01020
AARTISURF,EQ,1378.25,1389.9,1365,1370.3,1370,1378.25,12068,16566883.35,2021-06-16,1702,INE09EO01013
AARVEEDEN,BE,24.3,24.5,23.5,24.05,24.05,24.3,13880,335306.85,2021-06-16,72,INE273D01019
AARVI,EQ,68.05,69.8,66.8,68.45,68.8,68.45,41375,2829782.15,2021-06-16,437,INE754X01016
AAVAS,EQ,2496.2,2529.95,2434.25,2505.35,2520,2496.2,58443,145235994.2,2021-06-16,5678,INE216P01012
ABAN,EQ,52,52,50.45,50.85,50.55,50.15,304468,15582611.35,2021-06-16,2719,INE421A01028
ABB,EQ,1699,1728,1673.75,1720.3,1720,1693.95,207324,353875032.7,2021-06-16,12137,INE117A01022
ABBOTINDIA,EQ,16500,16500,16326.65,16446.2,16465,16461.2,7235,118670430.3,2021-06-16,2312,INE358A01014
ABCAPITAL,EQ,123.9,125.7,123,123.35,123.15,125.1,1709444,212173791.9,2021-06-16,10068,INE674K01013
ABFRL,EQ,204.95,205.75,201.95,203.3,202.55,204.5,976813,199077044.3,2021-06-16,9027,INE647O01011
ABFRLPP1,E1,176,176,169.05,171.95,171,172.95,23381,3991888.2,2021-06-16,218,IN9647O01027
ABINFRA,SM,9.8,10.2,9.8,10.2,10.2,9.75,8000,80000,2021-06-16,2,INE00YB01017
ABMINTLTD,EQ,68.55,70,65.5,67.25,66.75,66.85,4339,296449.35,2021-06-16,95,INE251C01017
ABSLBANETF,EQ,348.65,348.88,347.17,347.17,347.17,348.95,479,166656.7,2021-06-16,23,INF209KB1O58
ABSLNN50ET,EQ,395.4,401.99,395.4,397.25,397.25,396.05,138,54966.57,2021-06-16,10,INF209KB1B87
ABSLRIF6RG,MF,9.7,9.99,9.7,9.98,9.99,9.66,18685,181414.91,2021-06-16,13,INF209KB1LL4
ACC,EQ,2042,2053,2013.4,2020.5,2020,2042.95,152299,309195475.4,2021-06-16,8031,INE012A01025
ACCELYA,EQ,1180,1220,1148.45,1190.9,1186,1165.25,402006,477408898.7,2021-06-16,12527,INE793A01012
ACCORD,SM,15.75,15.75,15,15,15,15,4000,61500,2021-06-16,2,INE113X01015
ACCURACY,EQ,80.7,84.7,80.4,83.8,84,82.45,14117,1166353.85,2021-06-16,211,INE648Z01015
ACE,EQ,245.15,246.6,228.85,233.05,233,242.45,3528685,832760188.4,2021-06-16,70330,INE731H01025
ACRYSIL,EQ,539.05,549.1,531.4,535.85,540,538.65,158355,85637468.3,2021-06-16,8656,INE482D01024
ADANIENT,EQ,1510,1538.2,1409.3,1448.3,1427,1538.85,12626149,18866331555,2021-06-16,290100,INE423A01024
ADANIGREEN,BE,1171.05,1235,1162.55,1182.75,1165,1212.2,1781769,2131559882,2021-06-16,43486,INE364U01010
ADANIPORTS,EQ,755,755,697.8,706.7,702,761.85,29440056,21408419869,2021-06-16,501294,INE742F01042
ADANIPOWER,BE,127.25,127.25,127.25,127.25,127.25,133.9,803896,102295766,2021-06-16,13868,INE814H01011
ADANITRANS,BE,1374.1,1374.1,1374.1,1374.1,1374.1,1446.4,70308,96610222.8,2021-06-16,4102,INE931S01010
ADFFOODS,EQ,967,984,951.25,957.05,954.95,979.25,24839,23923300,2021-06-16,3390,INE982B01019
ADL,BE,35.5,37,35.3,35.6,35.5,35.95,3683,133376.25,2021-06-16,47,INE0CHO01012
ADORWELD,EQ,618.3,619.95,602,613.5,610.25,615.25,29420,17976480.9,2021-06-16,2929,INE045A01017
ADROITINFO,EQ,12.2,12.25,11.15,11.4,11.2,11.7,25683,298831.95,2021-06-16,233,INE737B01033
ADSL,EQ,61.9,62.2,61.05,61.55,61.6,61.95,192734,11825583.15,2021-06-16,1103,INE102I01027
ADVANIHOTR,EQ,67,67,63.4,63.8,63.95,65.35,15873,1023209.1,2021-06-16,497,INE199C01026
ADVENZYMES,EQ,414.2,416.15,405.25,414.45,414.25,411.75,247225,101759151.2,2021-06-16,10415,INE837H01020
AEGISCHEM,EQ,365.25,372.8,361,362.75,362.35,364.05,407227,149272157.9,2021-06-16,8878,INE208C01025
AFFLE,BE,5131.25,5155,5115,5124.25,5125,5155.45,20977,107561992.3,2021-06-16,6777,INE00WC01019
AGARIND,EQ,288.45,288.45,288.45,288.45,288.45,262.25,22178,6397244.1,2021-06-16,175,INE204E01012
AGCNET,BE,1296.4,1324,1290,1318,1324,1296.4,4581,5939261.5,2021-06-16,152,INE676A01019
AGRITECH,EQ,45,45.05,43.7,44.65,44.05,45.95,20340,904515.3,2021-06-16,300,INE449G01018
AGROPHOS,EQ,14.95,14.95,14.5,14.7,14.75,14.65,123901,1819449.95,2021-06-16,653,INE740V01019
AHLADA,EQ,183.55,184.75,179,179.8,179.05,180.65,77608,14099319.1,2021-06-16,756,INE00PV01013
AHLEAST,EQ,183.1,183.1,176.95,177.95,178.1,179.9,3062,547053.2,2021-06-16,133,INE926K01017
AHLUCONT,EQ,312.3,324.2,312.3,317.65,316,314.35,12635,4018083.05,2021-06-16,854,INE758C01029
AHLWEST,EQ,216.5,221,215.05,219.2,219,217.05,15085,3297145.5,2021-06-16,640,INE915K01010
